section,stat,segment,pool_freq_pct,n_opportunities,k_actions,low_n_flag,note
A. Preflop,VPIP,UTG,19.188,9073994,1741108,,
A. Preflop,VPIP,HJ,19.862,9073994,1802303,,
A. Preflop,VPIP,CO,22.011,9073994,1997275,,
A. Preflop,VPIP,BU,26.929,9073996,2443511,,
A. Preflop,VPIP,SB,23.591,9073996,2140615,,
A. Preflop,VPIP,BB,25.363,9073996,2301422,,
A. Preflop,PFR,UTG,18.382,9073994,1668007,,
A. Preflop,PFR,HJ,18.179,9073994,1649564,,
A. Preflop,PFR,CO,19.25,9073994,1746734,,
A. Preflop,PFR,BU,22.168,9073996,2011514,,
A. Preflop,PFR,SB,16.875,9073996,1531219,,
A. Preflop,PFR,BB,5.706,9073996,517772,,
A. Preflop,RFI (raise first in),UTG,18.351,9073994,1665149,,
A. Preflop,RFI (raise first in),HJ,20.765,7332886,1522659,,
A. Preflop,RFI (raise first in),CO,25.696,5755373,1478910,,
A. Preflop,RFI (raise first in),BU,37.488,4236356,1588118,,
A. Preflop,RFI (raise first in),SB,39.136,2617778,1024488,,
A. Preflop,Open-limp%,UTG,0.837,9073994,75959,,
A. Preflop,Open-limp%,HJ,0.748,7332886,54854,,
A. Preflop,Open-limp%,CO,0.697,5755373,40109,,
A. Preflop,Open-limp%,BU,0.719,4236356,30460,,
A. Preflop,Open-limp%,SB,3.537,2617778,92587,,
A. Preflop,Cold-call%,HJ,5.709,1665149,95059,,
A. Preflop,Cold-call%,CO,6.375,3199092,203951,,
A. Preflop,Cold-call%,BU,8.32,4698367,390883,,
A. Preflop,3bet%,HJ,6.811,1665149,113412,,
A. Preflop,3bet%,CO,7.879,3085680,243123,,
A. Preflop,3bet%,BU,8.886,4341832,385806,,
A. Preflop,3bet%,SB,8.326,5571036,463832,,
A. Preflop,3bet%,BB,7.225,6152615,444534,,
A. Preflop,Fold to 3bet (as opener),UTG,46.204,456579,210960,,
A. Preflop,Fold to 3bet (as opener),HJ,49.342,397633,196199,,
A. Preflop,Fold to 3bet (as opener),CO,54.526,354423,193253,,
A. Preflop,Fold to 3bet (as opener),BU,62.884,314842,197984,,
A. Preflop,Fold to 3bet (as opener),SB,58.219,131479,76546,,
A. Preflop,Fold to 3bet (as opener),BB,42.732,1940,829,,
A. Preflop,Call 3bet (as opener),UTG,42.436,456579,193752,,
A. Preflop,Call 3bet (as opener),HJ,39.655,397633,157681,,
A. Preflop,Call 3bet (as opener),CO,35.158,354423,124608,,
A. Preflop,Call 3bet (as opener),BU,29.903,314842,94146,,
A. Preflop,Call 3bet (as opener),SB,31.235,131479,41067,,
A. Preflop,Call 3bet (as opener),BB,45.722,1940,887,,
A. Preflop,Squeeze%,CO,6.453,95059,6134,,
A. Preflop,Squeeze%,BU,7.08,282498,20000,,
A. Preflop,Squeeze%,SB,6.557,613097,40202,,
A. Preflop,Squeeze%,BB,6.262,983778,61600,,
A. Preflop,4bet%,CO,2.335,113412,2648,,
A. Preflop,4bet%,BU,2.648,353887,9372,,
A. Preflop,4bet%,SB,2.746,730321,20058,,
A. Preflop,4bet%,BB,2.797,1174095,32845,,
A. Preflop,Fold to 4bet (as 3bettor),HJ,48.683,24442,11899,,
A. Preflop,Fold to 4bet (as 3bettor),CO,51.118,51070,26106,,
A. Preflop,Fold to 4bet (as 3bettor),BU,52.598,77075,40540,,
A. Preflop,Fold to 4bet (as 3bettor),SB,51.183,60032,30726,,
A. Preflop,Fold to 4bet (as 3bettor),BB,43.129,46396,20010,,
A. Preflop,Call 4bet (as 3bettor),HJ,38.246,24442,9348,,
A. Preflop,Call 4bet (as 3bettor),CO,36.763,51070,18775,,
A. Preflop,Call 4bet (as 3bettor),BU,36.135,77075,27851,,
A. Preflop,Call 4bet (as 3bettor),SB,32.604,60032,19573,,
A. Preflop,Call 4bet (as 3bettor),BB,38.447,46396,17838,,
A. Preflop,Limp-fold%,UTG,29.983,42671,12794,,denom = limped AND faced a raise behind
A. Preflop,Limp-fold%,HJ,29.923,27083,8104,,denom = limped AND faced a raise behind
A. Preflop,Limp-fold%,CO,29.931,16735,5009,,denom = limped AND faced a raise behind
A. Preflop,Limp-fold%,BU,31.503,8977,2828,,denom = limped AND faced a raise behind
A. Preflop,Limp-fold%,SB,51.395,23843,12254,,denom = limped AND faced a raise behind
A. Preflop,Limp-call%,UTG,63.877,42671,27257,,denom = limped AND faced a raise behind
A. Preflop,Limp-call%,HJ,65.262,27083,17675,,denom = limped AND faced a raise behind
A. Preflop,Limp-call%,CO,66.226,16735,11083,,denom = limped AND faced a raise behind
A. Preflop,Limp-call%,BU,65.2,8977,5853,,denom = limped AND faced a raise behind
A. Preflop,Limp-call%,SB,44.734,23843,10666,,denom = limped AND faced a raise behind
A. Preflop,Limp-raise%,UTG,6.14,42671,2620,,denom = limped AND faced a raise behind
A. Preflop,Limp-raise%,HJ,4.815,27083,1304,,denom = limped AND faced a raise behind
A. Preflop,Limp-raise%,CO,3.842,16735,643,,denom = limped AND faced a raise behind
A. Preflop,Limp-raise%,BU,3.297,8977,296,,denom = limped AND faced a raise behind
A. Preflop,Limp-raise%,SB,3.871,23843,923,,denom = limped AND faced a raise behind
A. Preflop,Fold to steal,SB vs BTN,80.936,1615010,1307130,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Fold to steal,BB vs BTN,62.721,1428468,895946,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Fold to steal,SB vs CO,83.167,1336028,1111133,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Fold to steal,BB vs CO,65.584,1220547,800481,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Fold to steal,BB vs SB,58.091,1045411,607291,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Call vs steal,SB vs BTN,7.513,1615010,121338,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Call vs steal,BB vs BTN,28.4,1428468,405692,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Call vs steal,SB vs CO,8.189,1336028,109414,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Call vs steal,BB vs CO,28.306,1220547,345484,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,Call vs steal,BB vs SB,29.433,1045411,307697,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,3bet vs steal,SB vs BTN,11.551,1615010,186542,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,3bet vs steal,BB vs BTN,8.879,1428468,126830,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,3bet vs steal,SB vs CO,8.644,1336028,115481,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,3bet vs steal,BB vs CO,6.111,1220547,74582,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,3bet vs steal,BB vs SB,12.476,1045411,130423,,"denom = in blind, faced a CO/BU/SB open"
A. Preflop,3bet% by relative position,OOP vs opener,7.285,10678240,777943,,IP/OOP from postflop acting order vs the opener
A. Preflop,3bet% by relative position,IP vs opener,8.609,10138072,872764,,IP/OOP from postflop acting order vs the opener
A. Preflop,3bet% blinds vs late,blinds vs BTN,10.297,3043478,313372,,
A. Preflop,3bet% blinds vs late,blinds vs CO,7.434,2556575,190063,,
A. Preflop,3bet% blinds vs late,non-blind vs CO,10.888,1499275,163247,,
A. Preflop,3bet% blinds vs late,blinds vs SB,12.476,1045411,130423,,
B. Flop,C-bet flop (as PFR),srp · HU,56.475,2118130,1196223,,
B. Flop,C-bet flop (as PFR),3bet · HU,70.776,592155,419106,,
B. Flop,C-bet flop (as PFR),srp · multiway,36.146,340397,123041,,
B. Flop,C-bet flop (as PFR),4bet · HU,61.754,89121,55036,,
B. Flop,C-bet flop (as PFR),3bet · multiway,49.362,50071,24716,,
B. Flop,C-bet flop (as PFR),5bet_plus · HU,4.836,20121,973,,
B. Flop,C-bet flop (as PFR),4bet · multiway,38.165,2780,1061,,
B. Flop,C-bet flop (as PFR),5bet_plus · multiway,1.957,1022,20,,
B. Flop,C-bet flop — size mix,small,100.0,949944,949944,,share of c-bets in each size bucket (freq column = 100% by construction; read N)
B. Flop,C-bet flop — size mix,mid,100.0,585259,585259,,share of c-bets in each size bucket (freq column = 100% by construction; read N)
