spot,pattern,level,work,players,hands,pct_hands,flop_hands,preflop_hands,pct_sees_flop,avg_pot_bb
walk (folded to BB),walk,walk,preflop only,0,1503894,16.5376,0,1503894,0.00,0.87
BU open,open,SRP,preflop only,1,801401,8.8126,0,801401,0.00,2.43
CO open,open,SRP,preflop only,1,653841,7.1900,0,653841,0.00,2.43
UTG open,open,SRP,preflop only,1,607351,6.6787,0,607351,0.00,2.43
HJ open,open,SRP,preflop only,1,606465,6.6690,0,606465,0.00,2.43
SB open,open,SRP,preflop only,1,591456,6.5040,0,591456,0.00,2.00
"BU open, BB call","open, call",SRP,postflop,2,371149,4.0813,371103,46,99.99,12.18
"SB open, BB call","open, call",SRP,postflop,2,305700,3.3616,305637,63,99.98,13.87
"CO open, BB call","open, call",SRP,postflop,2,287746,3.1642,287701,45,99.98,12.52
"HJ open, BB call","open, call",SRP,postflop,2,257886,2.8358,257836,50,99.98,12.73
"UTG open, BB call","open, call",SRP,postflop,2,250242,2.7518,250178,64,99.97,12.88
"BU open, SB 3bet","open, 3bet",3bet,preflop only,2,106678,1.1731,34,106644,0.03,5.62
"BU open, SB call","open, call",SRP,postflop,2,75977,0.8355,75954,23,99.97,14.65
"SB open, BB 3bet","open, 3bet",3bet,preflop only,2,74645,0.8208,0,74645,0.00,5.34
"CO open, BU 3bet","open, 3bet",3bet,preflop only,2,73288,0.8059,45,73243,0.06,5.97
"BU open, BB 3bet","open, 3bet",3bet,preflop only,2,69778,0.7673,0,69778,0.00,5.03
"SB limp, BB check","limp, check",limped,postflop,2,68881,0.7575,68881,0,100.00,3.97
"UTG open, BU call","open, call",SRP,postflop,2,67638,0.7438,67604,34,99.95,16.59
"UTG open, SB call","open, call",SRP,postflop,2,65535,0.7207,65498,37,99.94,15.23
"CO open, BU call","open, call",SRP,postflop,2,63517,0.6985,63493,24,99.96,16.13
"CO open, SB call","open, call",SRP,postflop,2,63321,0.6963,63296,25,99.96,14.91
"HJ open, BU call","open, call",SRP,postflop,2,63015,0.6929,62993,22,99.97,16.33
"HJ open, SB call","open, call",SRP,postflop,2,62540,0.6877,62514,26,99.96,14.99
"CO open, SB 3bet","open, 3bet",3bet,preflop only,2,51562,0.5670,39,51523,0.08,5.55
"BU open, SB 3bet, BU call","open, 3bet, call",3bet,postflop,2,50770,0.5583,50691,79,99.84,50.49
"HJ open, CO 3bet","open, 3bet",3bet,preflop only,2,50495,0.5553,66,50429,0.13,5.94
"CO open, BU 3bet, CO call","open, 3bet, call",3bet,postflop,2,48112,0.5291,48051,61,99.87,39.35
"UTG open, CO call","open, call",SRP,postflop,2,46282,0.5089,46261,21,99.95,17.00
"HJ open, BU 3bet","open, 3bet",3bet,preflop only,2,45436,0.4996,50,45386,0.11,5.92
"HJ open, CO call","open, call",SRP,postflop,2,43682,0.4803,43659,23,99.95,16.91
"HJ open, CO 3bet, HJ call","open, 3bet, call",3bet,postflop,2,43581,0.4792,43504,77,99.82,39.71
"HJ open, BU 3bet, HJ call","open, 3bet, call",3bet,postflop,2,39608,0.4355,39542,66,99.83,39.47
"UTG open, HJ 3bet, UTG call","open, 3bet, call",3bet,postflop,2,39594,0.4354,39525,69,99.83,40.15
"UTG open, CO 3bet, UTG call","open, 3bet, call",3bet,postflop,2,39128,0.4303,39066,62,99.84,39.46
"UTG open, HJ 3bet","open, 3bet",3bet,preflop only,2,39109,0.4301,71,39038,0.18,5.98
"UTG open, HJ call","open, call",SRP,postflop,2,38990,0.4288,38959,31,99.92,17.35
"SB open, BB 3bet, SB call","open, 3bet, call",3bet,postflop,2,38880,0.4275,38771,109,99.72,42.91
"CO open, SB 3bet, CO call","open, 3bet, call",3bet,postflop,2,37155,0.4086,37077,78,99.79,50.17
"UTG open, CO 3bet","open, 3bet",3bet,preflop only,2,36881,0.4056,67,36814,0.18,6.03
"UTG open, BU 3bet, UTG call","open, 3bet, call",3bet,postflop,2,35448,0.3898,35393,55,99.84,39.50
"BU open, BB 3bet, BU call","open, 3bet, call",3bet,postflop,2,35012,0.3850,34895,117,99.67,49.35
"UTG open, BU 3bet","open, 3bet",3bet,preflop only,2,32662,0.3592,74,32588,0.23,6.07
"BU open, SB call, BB call","open, call, call",SRP,postflop,3,31990,0.3518,31990,0,100.00,20.55
"HJ open, SB 3bet","open, 3bet",3bet,preflop only,2,31561,0.3471,47,31514,0.15,5.56
"CO open, BB 3bet","open, 3bet",3bet,preflop only,2,30455,0.3349,0,30455,0.00,4.91
"HJ open, SB 3bet, HJ call","open, 3bet, call",3bet,postflop,2,30368,0.3339,30293,75,99.75,51.25
"UTG open, BU call, BB call","open, call, call",SRP,postflop,3,26705,0.2937,26705,0,100.00,22.05
"CO open, SB call, BB call","open, call, call",SRP,postflop,3,26555,0.2920,26555,0,100.00,20.93
"HJ open, SB call, BB call","open, call, call",SRP,postflop,3,26344,0.2897,26344,0,100.00,21.22
"UTG open, SB call, BB call","open, call, call",SRP,postflop,3,26341,0.2897,26341,0,100.00,21.30
"UTG open, SB 3bet, UTG call","open, 3bet, call",3bet,postflop,2,26099,0.2870,26024,75,99.71,50.67
"CO open, BU call, BB call","open, call, call",SRP,postflop,3,25917,0.2850,25917,0,100.00,21.80
"HJ open, BU call, BB call","open, call, call",SRP,postflop,3,25728,0.2829,25728,0,100.00,22.34
"CO open, BB 3bet, CO call","open, 3bet, call",3bet,postflop,2,23769,0.2614,23659,110,99.54,49.84
"UTG open, SB 3bet","open, 3bet",3bet,preflop only,2,23604,0.2596,72,23532,0.31,5.76
"UTG limp, BB check","limp, check",limped,postflop,2,21538,0.2368,21538,0,100.00,4.89
"HJ limp, BB check","limp, check",limped,postflop,2,19424,0.2136,19424,0,100.00,4.89
"HJ open, BB 3bet, HJ call","open, 3bet, call",3bet,postflop,2,19415,0.2135,19340,75,99.61,50.02
"HJ open, BB 3bet","open, 3bet",3bet,preflop only,2,18365,0.2020,0,18365,0.00,4.81
"UTG open, CO call, BB call","open, call, call",SRP,postflop,3,18211,0.2003,18211,0,100.00,22.99
"UTG open, BB 3bet, UTG call","open, 3bet, call",3bet,postflop,2,18112,0.1992,18016,96,99.47,49.96
"HJ open, CO call, BB call","open, call, call",SRP,postflop,3,17906,0.1969,17906,0,100.00,22.53
"CO limp, BB check","limp, check",limped,postflop,2,17670,0.1943,17670,0,100.00,4.82
"BU limp, BB check","limp, check",limped,postflop,2,17530,0.1928,17530,0,100.00,4.76
"UTG open, HJ call, BB call","open, call, call",SRP,postflop,3,15092,0.1660,15092,0,100.00,23.75
"UTG open, BB 3bet","open, 3bet",3bet,preflop only,2,14038,0.1544,0,14038,0.00,4.83
"SB limp, BB iso","limp, iso",SRP,preflop only,2,12256,0.1348,0,12256,0.00,2.00
"CO open, BU 3bet, CO 4bet","open, 3bet, 4bet",4bet,preflop only,2,11422,0.1256,0,11422,0.00,15.91
"SB limp, BB iso, SB call","limp, iso, call",SRP,postflop,2,10633,0.1169,10629,4,99.96,19.13
"BU open, SB 3bet, BU 4bet","open, 3bet, 4bet",4bet,preflop only,2,8699,0.0957,0,8699,0.00,20.54
"SB open, BB 3bet, SB 4bet","open, 3bet, 4bet",4bet,preflop only,2,8166,0.0898,0,8166,0.00,17.86
